Name,Site Characteristics,Plant Traits,Special Considerations,Growing Information
European Winter Aconite,Sunlight: part shade Soil conditions: requires well-drained soil Prefers rich  moist but well-drained soil. Hardiness zones: 4 to 9,Lifecycle: perennial Ease-of-care: easy Height: 0.25 to 0.5 feet Spread: 0.1 to 0.25 feet Bloom time: early spring One of the first bulbs to bloom in spring. Flower color: yellow Blooms are vivid yellow and shiny. Foliage color: medium green Foliage texture: medium Leaves form a ruff around the base of the flower. Shape: upright Shape in flower: same as above Blooms are borne above the foliage  but they are nearly stemless.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to southern Europe. fragrant - Blooms have a sweet  honey-like scent. Special uses: naturalistic garden,"How to plant: Propagate by division or separation - Divide after flowering has ceased  but while the leaves are still present. Maintenance and care: Plant fresh tubers after flowering in the spring. If dried tubers are to be used (purchased in the fall)  soak them overnight in water or place them in moist peat moss for 3 to 4 days before planting. Plant the tubers 1 to 2"" beneath the soil surface. More growing information: How to Grow Bulbs"
African Daisy,Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil Prefers light loamy soil and cool nights. Special locations: outdoor containers,Lifecycle: annual Ease-of-care: easy Height: 0.8 to 1.5 feet Spread: 0.5 to 1 feet Bloom time: mid-summer late summer early fall Flower color: red orange yellow violet white pink These hybrid plants are available in a wide array of shades of these basic colors. They often have deeper colored or different colored rings around their darker colored centers. The flowers close at night. Foliage color: other Silvery green with wavy or deeply lobed margins. Foliage texture: medium Shape: upright Shape in flower: same as above,Tolerates: frost Special characteristics: non-aggressive - May self-seed in warm climates  but it is not generally considered a weedy plant. non-invasive not native to North America - South Africa Special uses: cut flowers,How to plant: Propagate by seed - Sow indoors 6 to 8 weeks before the last spring frost. Germination temperature: 60 F to 70 F Days to emergence: 7 to 14 Maintenance and care: Cut flowers regularly to keep the plant in flower. More growing information: How to Grow Annuals
Ageratum,Sunlight: full sun part shade Prefers warm weather. In very hot climates  prefers part shade. Special locations: outdoor containers xeriscapes,Lifecycle: annual Ease-of-care: easy Height: 0.5 to 2 feet Spread: 0.5 to 1 feet Bloom time: mid-summer late summer early fall mid-fall Flower color: blue white pink Foliage color: medium green Foliage texture: medium Shape: cushion  mound or clump loose and formless Shape in flower: same as above The small (1/4-inch)  tufted flowers are clustered in dense  rounded heads about 1 inch in diameter.,Special characteristics: deer resistant non-aggressive non-invasive native to North America - Mexico Attracts: butterflies Special uses: cut flowers - Only the taller varieties  not the dwarf bedding varieties.,How to plant: Propagate by seed - Start seeds indoors 6 to 8 weeks before last frost  do not cover seeds  as they need light to germinate. Germination temperature: 70 F to 75 F Days to emergence: 5 to 10 Maintenance and care: Pinch back plants to keep rounded and bushy  deadhead to keep in flower. More growing information: How to Grow Annuals Pests: Spider mitesWhitefly Diseases: OedemaParasitic nematodesPowdery mildewRoot rot
Allium - Blue Globe,Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 4 to 10,Lifecycle: perennial Ease-of-care: easy Height: 1.5 to 2 feet Spread: 0.5 to 1 feet Bloom time: late spring early summer Flower color: blue Foliage color: medium green Foliage texture: medium Foliage clasps the erect stem  and dies back before the plant blooms. Shape: upright Shape in flower: flower stalks with flowers as globes Spherical blooms composed of numerous tiny  star-like blossoms.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to North and Central Asia. Special uses: cut flowers dried flowers,"How to plant: Propagate by division or separation - Plant the bulbs 2 to 4"" beneath the soil surface in fall.Divide and replant bulbs and in fall. You can also plant the bulblets that form in the flowerhead. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Allium - Giant,Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 6 to 10 May be hardier in colder Zones with excellent drainage and protective mulch.,Lifecycle: perennial Ease-of-care: easy Height: 5 to 6 feet Spread: 1.5 to 2 feet Bloom time: late spring early summer Flower color: violet Foliage color: light green medium green Foliage dies back before the plant blooms. Foliage texture: medium Shape: upright Shape in flower: flower stalks with flowers as globes,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Central Asia Special uses: cut flowers,"How to plant: Propagate by division or separation - Plant the bulbs 4"" beneath the soil surface in fall.Divide in fall every 2 or 3 years. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Allium - 'Globemaster',Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 6 to 10,Lifecycle: perennial Ease-of-care: easy Height: 2.5 to 3.5 feet Spread: 1 to 1.5 feet Bloom time: mid-summer Flower color: blue violet Flowers are bluish-purple. Foliage color: gray-green Foliage texture: medium Shape: upright Shape in flower: flower stalks with flowers as globes,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - product of horticultural breeding Special uses: cut flowers,"How to plant: Propagate by division or separation - Plant the bulbs 4"" beneath the soil surface in fall.Divide in fall. The seeds of this hybrid are sterile. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Allium - Purple,Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 4 to 8,Lifecycle: perennial Ease-of-care: easy Height: 2.5 to 3 feet Spread: 0.5 to 1 feet Bloom time: late spring early summer mid-summer Flower color: violet pink Blooms are violet-pink. Foliage color: medium green Foliage texture: medium Shape: upright Shape in flower: flower stalks with flowers as globes Spherical blooms composed of numerous tiny  star-like blossoms.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Central Asia Special uses: cut flowers,"How to plant: Propagate by division or separation - Plant the bulbs 4"" beneath the soil surface in the fall. Divide and replant in the fall. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Allium - Star of Persia,Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 5 to 8,Lifecycle: perennial Ease-of-care: easy Height: 1 to 2 feet Spread: 0.5 to 1 feet Bloom time: late spring early summer Flower color: violet Blooms are violet with a metallic shine. Foliage color: gray-green Leaves die back before plant blooms. Foliage texture: medium Shape: upright Shape in flower: flower stalks with flowers as globes Spherical flowerhead borne on a tall erect stem.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Turkey  Asia Minor  Central Asia. Special uses: cut flowers dried flowers,"How to plant: Propagate by division or separation - Plant the bulbs 4"" beneath the soil surface in fall.Divide bulbs in fall. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Alpine Rosy Bells,Sunlight: full sun Soil conditions: requires well-drained soil Prefers fertile  very well-drained soil. Hardiness zones: 4 to 9 Might be marginally hardy in Zone 3.,Lifecycle: perennial Ease-of-care: easy Height: 0.25 to 0.75 feet Spread: 0.1 to 0.25 feet Bloom time: late spring early summer Flower color: red pink Bell-like blooms are reddish pink. Foliage color: medium green Leaves ensheath the lower stem. Foliage texture: medium Shape: upright Shape in flower: flower stalks with sprays of flowers Loose  open umbels are borne on erect stems.,Special characteristics: deer resistant aggressive - Spreads rapidly to form clumps. non-invasive not native to North America - Native to Central Asia Special uses: cut flowers naturalistic garden,"How to plant: Propagate by division or separation - Plant the bulbs 4"" deep in fall.Divide and replant in fall. Maintenance and care: Apply mulch in fall for winter protection. More growing information: How to Grow Bulbs Pests: Onion flyThrips Diseases: White rotBulb rotMildewRustSmutPurple blotchGray mold"
Anemone - Japanese,Sunlight: full sun part shade Soil conditions: tolerates acid soil requires well-drained soil requires high fertility Does poorly in summer drought (without regular watering) exposed windy sites and wet winters. Hardiness zones: 4 to 8,Lifecycle: perennial Ease-of-care: moderately difficult Height: 2.5 to 5 feet Spread: 2 to 4 feet Once established  plants spread indefinitely to form dense clumps. Bloom time: late summer early fall mid-fall Flower color: violet white pink Foliage color: light green medium green Foliage texture: medium Shape: cushion  mound or clump Shape in flower: flower stalks with upright spikes flower stalks with flowers with petal radiating outward,Special characteristics: deer resistant aggressive - Once established  the plants spread to form dense clumps if conditions are right. non-invasive not native to North America - Product of horticultural breeding.,How to plant: Propagate by cuttings  division or separation - Take root sections when the plant is dormant and place vertically in loose propagation medium in flats placed in a cold frame. Divide the plant as desired in the spring. Fall division is usually unsuccessful. Maintenance and care: Water during summer dry spells. Plants do not tolerate drought well.Tall varieties may need staking.Remove faded flowers to improve appearance. Deadheading not needed to prolong bloom.Cut plants back to the ground after hard frost. Do not divide in fall.Provide excellent drainage and mulch to assure overwintering. Plants may be shortlived if overwintering conditions are too moist.Divide in spring as needed to control spread. Plants are often slow to establish  but if conditions are right they can spread aggressively. More growing information: How to Grow Perennials More growing information: How to Grow Bulbs Pests: Japanese beetlesFlea beetlesBlack blister beetles Diseases: Downy mildewLeaf and stem smutsSeptoria leaf spotPowdery mildewRustSynchytrium leaf gall
