Name,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23
Artichoke,Cabbage,Peas,Sunflower,,,,,,,,,,,,,,,,,,,,More To Come...
Arugula,Beans,Carrots,Cucumber,Dill,Lettuce,Onion,Spinach,,,,,,,,,,,,,,,,
Asparagus,Basil,Carrots,Dill,Marigold,Onion,Parsley,Spinach,Tomatoes,,,,,,,,,,,,,,,
Basil,Asparagus,Beans,Beets,Cabbage,Cilantro,Eggplant,Lemon (Meyer),Lemongrass,Marigold,Oregano,Peppers,Potato,Tomatoes,,,,,,,,,,
Beans,Arugula,Basil,Beets,Broccoli,Brussel Sprouts,Carrots,Cauliflower,Celery,Corn,Cucumber,Eggplant,Mint,Peas,Potato,Pumpkin,Rosemary,Squash,Strawberries,Swiss Chard,Tomatoes,Turnips,Watermelon,Zucchini
Beets,Basil,Beans,Broccoli,Brussel Sprouts,Cabbage,Cauliflower,Kale,Onion,Radish,Swiss Chard,,,,,,,,,,,,,
Blueberries,Parsley,Peppers,Potato,Radish,Thyme,,,,,,,,,,,,,,,,,,
Broccoli,Beans,Beets,Carrots,Chives,Cucumber,Dill,Garlic,Lettuce,Nasturtium,Onion,Potato,Rosemary,Sage,Spinach,Swiss Chard,Thyme,Turnips,,,,,,
Brussel Sprouts,Beans,Beets,Carrots,Celery,Lettuce,Onion,Peas,Potato,Radish,Spinach,Tomatoes,Turnips,,,,,,,,,,,
Cabbage,Artichoke,Basil,Beets,Celery,Lettuce,Mint,Onion,Potato,Radish,Spinach,Swiss Chard,Turnips,,,,,,,,,,,
Carrots,Arugula,Asparagus,Beans,Broccoli,Brussel Sprouts,Cauliflower,Chives,Leeks,Lettuce,Mint,Onion,Parsley,Peas,Peppers,Radish,Rosemary,Sage,,,,,,
Cauliflower,Beans,Beets,Carrots,Celery,Chives,Cucumber,Dill,Garlic,Lettuce,Mint,Nasturtium,Onion,Potato,Radish,Rosemary,Sage,Spinach,Swiss Chard,Thyme,Turnips,,,
Celery,Beans,Brussel Sprouts,Cabbage,Cauliflower,Kale,Leeks,Onion,Potato,Spinach,Tomatoes,Turnips,,,,,,,,,,,,
Chives,Broccoli,Carrots,Cauliflower,Parsley,Strawberries,Tomatoes,,,,,,,,,,,,,,,,,
Cilantro,Basil,Lemon (Meyer),Lemongrass,Mint,,,,,,,,,,,,,,,,,,,
Corn,Beans,Cucumber,Dill,Melon,Parsley,Peas,Potato,Pumpkin,Squash,Sunflower,Watermelon,Zucchini,,,,,,,,,,,
Cucumber,Arugula,Beans,Broccoli,Cauliflower,Corn,Dill,Kale,Lentil,Lettuce,Nasturtium,Onion,Peas,Peppers,Radish,Sunflower,Tomatoes,,,,,,,
Dill,Arugula,Asparagus,Broccoli,Cauliflower,Corn,Cucumber,Kale,Lettuce,Onion,Squash,Zucchini,,,,,,,,,,,,
Eggplant,Basil,Beans,Marigold,Mint,Peas,Peppers,Potato,Spinach,Thyme,Tomatoes,,,,,,,,,,,,,
