Name,Description,Sun,Soil,Water,,,,,,,,,,,,,,,,,,,,,,
Aconite,Aconite flowers are also known as winter aconite. They spread easily and can be planted as tubers or seeds. Aconite is often found growing in patches and is spring’s first flower.,Plant in part sun.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Ageratum,Ageratum is a tough plant that is a favorite for many gardens. These beautiful blue annuals are known for their powder puff blooms.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Allium,Allium is also known as flowering onion. This plant grows from a bulb or from seed and produces globes of purple clusters of flowers atop long stems.,Plant in full sun,Needs moist but well-drained soil.,Blooms in late spring to mid-summer,,,,,,,,,,,,,,,,,,,,,,
Alstroemeria,Alstroemeria is a flower commonly used in floral arrangements due to its variation in colors and its ability to be dyed. Their blooms make it easy for florists to create bouquets such as “100 blooms.”,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Amaryllis,Amaryllis flowers are one of the easiest to grow. They do very well indoors or out and come in a variety of colors. Try to plant the largest bulbs you can find because larger bulbs mean more flowers!,Plant in partial shade.,Needs well-drained soil.,Blooms in early spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Anemone,Anemone is also known as windflower. These tuberous flowers produce poppy-like blooms in early-to-mid spring and come in a variety of colors ranging from white to red and purple. Anemone is a buttercup.,Plant in full sun or part shade.,Needs moist but well-drained soil.,Blooms in mid-spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Angelica,Angelica is a tall hardy biennial herb with stalks that can be candied and used on cakes or cookies. It produces green foliage in the first year and flowers in the second.,Plant in partial shade or full shade.,It needs well-drained high fertility soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Angelonia,Angelonia is also known as summer snapdragon. It is a fairly new plant that has only been around since the late 1990s. Angelonia is a tough perennial and stands up to heat with no problem.,Plant in full sun.,Needs damp soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Artemisia,Artemisia is a perennial plant that is grown more for its silvery white foliage than for the small white flowers; it makes an excellent backdrop for more showy flowers in a perennial bed.,Plant in full sun.,Needs dry moderately fertile soil.,Blooms in late summer.,,,,,,,,,,,,,,,,,,,,,,
Aster,Aster blooms in late summer to early fall when many other perennials have faded. They range from varieties that skim the ground to those towering 6 feet high. The daisy-like flowers come in many colors; the most common shades are purple/lavender/pink/red/blue/white.,Plant in a sunny area.,Plant asters in moist well-drained soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Astilbe,Astilbe is known for being a graceful flower that does well in cooler climates in the northern third of the country. It can tolerate full sun as long as it has a constant supply of moisture.,Plant in full sun or partial shade.,It needs well-drained high fertility soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Aubrieta,Aubrieta is named after the French artist who made them famous from his paintings. They are perfect for rock gardens.,Plant in full sun.,It needs well-drained high fertility soil.,Blooms in mid-spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Alyssum,Alyssum is classified as a perennial plant grown as an annual in cold climates. Its tiny clusters of blooms are attractive at the edge of a bed or in pots with geraniums or other annuals.,Plant in the shade.,Needs moist but well-drained soil.,Blooms spring through fall.,,,,,,,,,,,,,,,,,,,,,,
Azalea,Azaleas are a type of rhododendrons. They come in a range of colors and beautiful shades. These shrubs can make a beautiful addition to your garden.,Shade tolerant,It needs well-drained high fertility soil.,Bloom in the spring,,,,,,,,,,,,,,,,,,,,,,
Balloon Flower,Balloon flowers are known for being great cut flowers and for having petals that can be popped. The Foliage turns clear gold in the fall.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Balsam,Balsam Is an old-fashioned annual that was a favorite of Victorian gardens. These impatiens are also known as the touch-me-not flower.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Baneberry,Baneberry is a white fluffy flower that produces ornamental and poisonous red berries. It’s perfect for cool areas.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in late spring.,,,,,,,,,,,,,,,,,,,,,,
Basket of Gold,Basket of Gold flowers grows in large bunches that resemble baskets of gold. They are perfect for rock gardens due to their short height.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Bee Balm,Bee balm flowers are also known as monarda/bergamot/Oswego tea. These flowers are perfect for attracting bees. Their blossoms resemble fireworks and come in many colors.,Plant in full sun or partial shade.,Needs damp soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Begonia,Begonia is an easy-to-grow flower that does great in many different conditions. They come in many different visual varieties. It’s a perennial plant.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Bellflower plant,Bellflowers are known for their resemblance to bells and are also called Campanula. These flowers come in many sizes and varieties.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Bergenia,Bergenia is also known as pigsqueak due to the sound their leaves make when rubbed together. The flower blooms in a beautiful array of pinks and whites and is native to central Asia.,Plant in full sun or partial shade,Needs well-drained soil.,Blooms in spring.,,,,,,,,,,,,,,,,,,,,,,
Blackeyed Susan,Blackeyed Susan is a member of the sunflower family known for attracting butterflies and bees. It grows in gardens and is also found in meadows and is a hardy plant.,Plant in full sun.,Needs well-drained soil.,Blooms in late summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Bleeding Heart,Bleeding-heart flowers are a favorite for many gardens due to their heart-shaped pink or white flowers. They are part of the poppy family.,Plant in partial shade.,Needs well-drained damp soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Bloodroot,Bloodroot is named for its red-colored sap that flows from the stem when cut. It was originally used as war paint by Native Americans and is also known for its medicinal qualities.,Plant in partial or full shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Boneset,Boneset is a wildflower that is very easy to grow and can spread quickly. It’s great for natural-looking gardens. Boneset is a perennial plant and is also known as eupatorium perfoliatum.,Plant in full sun to partial shade.,Needs well-drained soil.,Blooms in late summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Browallia,Browallias are a bright purple and blue flowers that are great in containers or planted in a row as a border. It is commonly known as bush violet and is a perennial. The flower is named for Swedish botanist Johan Browall.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Bugleweed,Bugleweed (also known as Ajuga) is a great choice to fill in gardens and can easily spread. Only varieties with purple leaves do well in the heat. Bugleweed is often used as a supplement to treat a variety of ailments.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Bugloss,Bugloss is a hard to find flower that can be short-lived but easily produces seeds. Siberian bugloss is also known as Brunnera.,Plant in all sun types.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Buttercup,Buttercup flowers are a plant that is fun and cheerful - common in grassland and as a garden weed. They are also known as Ranunculus bulbosus. Buttercups are occasionally used as a supplement.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Butterfly Weed,Butterfly Weed is also known as Pleurisy Root. This plant produces warm color blooms and can do very well in poor quality soil. It is a species of milkweed.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Caladium,Caladium is a tropical plant with clumping heart-shaped leaves that are available in a variety of colors. They are also known as Heart of Jesus - as well as Elephant Ear and Angel Wings.,Plant in partial or full shade.,Needs well-drained damp soil.,Blooms in early spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Calendula,Calendula is grown mainly for cut flowers but it can also be used as an herb. They come in a variety of yellow and orange colors. It is also known as pot marigold and often sold as a cream or in oil form.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
California Poppy,The California Poppy is a wildflower native to both the United States and Mexico. These flowers can add a pop of color to dry hot areas. They are used as a supplement to treat a variety of sleep-related issues such as insomnia.,Plant in full sun.,Need well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Calla Lily,Calla lilies are hardy plants that grow in full sun or partial shade. They’re available in various colors with classic white making an elegant gift or addition to your home. ,Plant in full sun or partial shade.,Needs moist well-drained soil.,Blooms midsummer to early fall,,,,,,,,,,,,,,,,,,,,,,
Canna,Canna are tall blooms grow on spike-like stalks that are sure to draw attention. When grown in the correct environment they are very easy to care for.,Plant in full sun.,Needs moist well-drained soil.,Blooms in early summer.,,,,,,,,,,,,,,,,,,,,,,
Canterbury Bells,Canterbury Bells is an older flower known for its beautiful colors - a very common flower found in England. It is an annual or biennial flower and feature bell-shaped blooms in colors ranging from pink to purple and white.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
