Name,Growing Times,Weekly Water,Daily Direct Sunlight,Height,Plant Spacing,Abbreviation,Extras
Artichoke,85-100 days,1-2 inch,6+ hours,3-4 feet,72-96 inches,ART,If artichokes are perennial to your region think long term about where to plant them because they’ll grow in that spot for up to 5 years
Arugula,28-49 days,Water everyday,6+ hours,2-4 feet,3-4 inches,ARU,Runway' 'Garden' and 'Astro' are fast growing varieties of arugula.
Asparagus,42-56 days,1-2 inches,6-10 hours,0.5-8 feet,12-36 inches,ASP,Stagnant water will quickly rot the roots; they do best in lighter soils that warm up quickly in the spring.  
Basil,21-28 days,1 inch,6-8 hours,1-2 feet,12-16 inches,BSL,You can produce excellent leaf production through feeding the plant water-soluable plant food.
Beans,45-75 days,1 inch,8-10 hours,1-20 feet,4-6 inches,BNS,A technique to boost growth is to create a compost trench where the beans are to grow. 
Beets,45-65 days,1 inch,6 hours,-3-4 feet (roots),1-2 inches,BEET,Pre-soack the seeds to increase germination rates before transplanting into soil.
Blueberries,2-3 years,1-4 inches,6+ hours,1-8 feet,48-96 inches,BLU,Coffee grounds are a good nitrogen source for blueberry bushes. 
Broccoli,80-100 days,1-1.5 inches,6+ hours,2.5 feet,18-24 inches,BROC,Broccoli thrives in cool soil; mulch will help keep the ground cool and moist.
Brussel Sprouts,182-217 days,1-1.5 inches,6+ hours,2.5 feet,18-30 inches,BRUS,Plant 6-10 weeks before the expected frost and begin fertilizing a month after planting. 
Cabbage,80-180 days,1-1.5 inches,6-8 hours,1-3 feet,24-36 inches,CABB,Because cabbage is a heavy feeder you can add aged manure or compost into the garden bed prior to planting. 
Carrots,70-80 days,1 inch,6-8 hours,-6 feet,1-3 inches,CAR,Carrots can tolerate partial shade. 
Cauliflower,50-100 days,2 inches,6+ hours,1-3 feet,24 inches,CAUL,For best growth: side-dress with a high-nitrogen fertilizer 3 - 4 weeks after transplanting.
Celery,90-120 days,1-1.5 inches,5-7 hours,1-3 feet,6-10 inches,CEL,Save the ends of celery in a shallow dish of water in a sunny window root side down. When roots start to appear you can plant it in the soil to grow normally. 
Chives,30-90 days,Water everyday,6-8 hours,~6 inches,8-12 inches,CHI,Snip the flavorful green tips once a week. Chives can also tolerate partial shade.
